nome_animali,descrizione_curiosita
Pinguino,I pinguini sono in grado di immergersi in acqua e nuotare a velocità  fino a 20 miglia all'ora.
Giraffa,"Le giraffe sono gli animali terrestri più alti del mondo, con un collo lungo fino a 6 metri."
Capra,Le capre sono note per la loro abilità di arrampicarsi su superfici ripide e scogliere.
Orso polare,Gli orsi polari sono adattati alla vita in ambienti freddi e possono sopravvivere in condizioni estreme.
Leone,I leoni vivono in gruppi chiamati branchi e i maschi sono noti per le loro possenti criniere.
Tigre,Le tigri sono i più grandi felini del mondo e possono saltare fino a 10 metri in lunghezza.
Panda rosso,I panda rossi sono noti per il loro manto morbido e peloso e per il loro aspetto adorabile.
Elefante,Gli elefanti sono gli animali terrestri più grandi del mondo e hanno una memoria eccezionale.
Gorilla,I gorilla sono animali intelligenti e sociali che vivono in gruppi chiamati bande.
Panda,I panda giganti sono noti per il loro amore per il bambù e per il loro comportamento giocoso.
Alligatore,Gli alligatori sono rettili semiacquatici che possono raggiungere dimensioni molto grandi.
Ghepardo,"Il ghepardo è  l'animale terrestre più veloce del mondo, in grado di raggiungere velocità fino a 70 miglia all'ora."
Delfino,I delfini sono mammiferi marini noti per la loro intelligenza e per il loro comportamento socievole.
Fenicottero,I fenicotteri sono uccelli dalle lunghe zampe e dal piumaggio rosa vibrante.
Lontra,Le lontre sono noti per il loro comportamento giocoso e per la loro abilità di nuotare agilmente.
